"","gender","v_m","mean_math","v_s","se","year","country"
"1","FEMALE",1.13781481888152,439.727776830114,6.1937899300161,2.72862350477045,"2018","ALBANIA"
"2","MALE",1.53233641666696,434.817394239319,6.28860877894884,2.82385885576501,"2018","ALBANIA"
"3","FEMALE",1.02043492121641,371.848368383666,6.1971154057152,2.70547478625347,"2018","ARGENTINA"
"4","MALE",1.41190975204324,387.279359567793,8.71983096007928,3.20514144575974,"2018","ARGENTINA"
"5","FEMALE",2.11978696197571,488.296647171671,3.73063718253245,2.46219472030661,"2018","AUSTRALIA"
"6","MALE",1.07195793489286,494.323797522796,4.65112716013627,2.41459745889836,"2018","AUSTRALIA"
"7","FEMALE",1.94288524635558,492.200906276095,12.6460018018772,3.84488953974862,"2018","AUSTRIA"
"8","MALE",1.57034649011839,505.483565972367,13.6361634959266,3.91963577836727,"2018","AUSTRIA"
"9","FEMALE",0.56977903232766,585.753110623896,6.33942829734857,2.63935318457174,"2018","B-S-J-Z (CHINA)"
"10","MALE",0.635030309685368,596.553872232353,7.83246349739488,2.92078702374014,"2018","B-S-J-Z (CHINA)"
"11","FEMALE",1.41997028153688,415.63232021568,8.42724785089973,3.16057196731704,"2018","BAKU (AZERBAIJAN)"
"12","MALE",0.799700547169324,423.259008118182,8.90140841089137,3.12747166458429,"2018","BAKU (AZERBAIJAN)"
"13","FEMALE",1.54681979928971,468.608845369959,7.97786009824477,3.11116728535504,"2018","BELARUS"
"14","MALE",0.778812752845435,474.870446287595,9.37127284048015,3.19811927054169,"2018","BELARUS"
"15","FEMALE",0.537631369100326,502.046829789884,6.64586992436834,2.69021642816683,"2018","BELGIUM"
"16","MALE",1.92850684005213,514.131599431072,6.28539372241283,2.89943981597656,"2018","BELGIUM"
"17","FEMALE",1.26457167538245,405.057103355608,12.2449461517114,3.69269210666583,"2018","BOSNIA AND HERZEGOVINA"
"18","MALE",1.9624770717957,407.647903423194,8.60220144217779,3.28038507208423,"2018","BOSNIA AND HERZEGOVINA"
"19","FEMALE",0.69116560699048,379.269456136934,3.38154463534019,2.03514785778078,"2018","BRAZIL"
"20","MALE",1.10038953360765,387.871670408919,5.31121257579306,2.55375039163217,"2018","BRAZIL"
"21","FEMALE",0.607698940124707,433.947562158454,1.02503088644659,1.30134535023712,"2018","BRUNEI DARUSSALAM"
"22","MALE",1.71921019445993,426.352127600861,0.957244805410308,1.68771325150816,"2018","BRUNEI DARUSSALAM"
"23","FEMALE",1.83445289295649,436.904265904042,12.8451120812058,3.85525748341896,"2018","BULGARIA"
"24","MALE",1.94768333688866,435.277237961018,21.5096977825026,4.86334755627028,"2018","BULGARIA"
"25","FEMALE",2.23788892777633,509.54625248018,4.86700445998574,2.70715390780423,"2018","CANADA"
"26","MALE",1.23523568208998,514.451017261465,5.02494774829237,2.52659988890037,"2018","CANADA"
"27","FEMALE",0.662890629045181,413.626757549314,6.70574613577397,2.72670603984435,"2018","CHILE"
"28","MALE",1.14586645729857,421.091791810278,9.64193018088253,3.30187572205723,"2018","CHILE"
"29","FEMALE",1.47181741858536,529.36385716791,15.3076708957094,4.11420345342246,"2018","CHINESE TAIPEI"
"30","MALE",1.87787304394161,532.907896377697,16.0301841172011,4.2539210695001,"2018","CHINESE TAIPEI"
"31","FEMALE",1.75193240569648,381.36527504906,7.97284551402794,3.146421961577,"2018","COLOMBIA"
"32","MALE",0.952221278477368,400.887169388084,13.0579473259166,3.75571441036745,"2018","COLOMBIA"
"33","FEMALE",1.83957717683651,393.602715975528,18.0141054060838,4.47634229037547,"2018","COSTA RICA"
"34","MALE",2.64141039755609,411.269947680742,6.91630911054474,3.13398477147807,"2018","COSTA RICA"
"35","FEMALE",3.07327225477588,459.922041827557,7.90628152508674,3.35959536333473,"2018","CROATIA"
"36","MALE",0.476195413479826,468.543509831661,8.70765037098332,3.03833265555487,"2018","CROATIA"
"37","FEMALE",2.01314928464541,497.671594615076,7.81407058198373,3.16678619346076,"2018","CZECH REPUBLIC"
"38","MALE",1.14817278367156,501.18653767431,7.42698192033359,2.94787584242829,"2018","CZECH REPUBLIC"
"39","FEMALE",1.17105211561767,507.454310588683,3.8770429182067,2.27270769026422,"2018","DENMARK"
"40","MALE",0.823698632120629,511.338929589824,4.2129330226921,2.26252105360918,"2018","DENMARK"
"41","FEMALE",2.28746745959338,326.668420551635,5.93798397981412,2.90761039091671,"2018","DOMINICAN REPUBLIC"
"42","MALE",1.39109672006471,323.522565271697,7.48076183781636,3.0018274816997,"2018","DOMINICAN REPUBLIC"
"43","FEMALE",0.828992138620087,519.187026867487,3.18735872872124,2.0246604854156,"2018","ESTONIA"
"44","MALE",0.886132938062726,527.638014708259,4.01964565461464,2.23481361336547,"2018","ESTONIA"
"45","FEMALE",1.21393649222605,510.40571203763,3.39364577105455,2.17462086638182,"2018","FINLAND"
"46","MALE",0.660964654205801,504.312432262085,5.73897426123726,2.54284002266435,"2018","FINLAND"
"47","FEMALE",0.850558642333191,492.184622751844,6.71492437225047,2.76596075149612,"2018","FRANCE"
"48","MALE",0.882854109319876,498.544845511855,6.19151192602791,2.67631303219182,"2018","FRANCE"
"49","FEMALE",1.2394417107791,399.811432296501,5.64930983864646,2.64814948983313,"2018","GEORGIA"
"50","MALE",1.85769610674088,395.546248571091,8.77097550917437,3.28853177369314,"2018","GEORGIA"
"51","FEMALE",1.16727740910465,496.24632135339,8.08796504051683,3.06136737268364,"2018","GERMANY"
"52","MALE",0.707991144725013,503.307917096999,8.14152319189762,2.98668937974727,"2018","GERMANY"
"53","FEMALE",0.86067219179732,451.206888200729,9.23146759922302,3.19033023528914,"2018","GREECE"
"54","MALE",0.748221784357043,451.529217827735,14.4105693221314,3.9030261701562,"2018","GREECE"
"55","FEMALE",1.09609395082308,553.996910063517,10.1946049023407,3.37643425054393,"2018","HONG KONG"
"56","MALE",0.916675165508825,548.459882103629,12.178939642597,3.63142979068255,"2018","HONG KONG"
"57","FEMALE",0.858178606422919,476.717094016631,9.19324070452838,3.18390282068935,"2018","HUNGARY"
"58","MALE",0.929301194679197,485.530236171011,7.84059177571582,2.97704939325214,"2018","HUNGARY"
"59","FEMALE",3.2259352696163,500.062550451783,4.87499367006036,2.90233052332747,"2018","ICELAND"
"60","MALE",1.2971673476426,490.247935466018,4.60656697698129,2.45630842106364,"2018","ICELAND"
"61","FEMALE",1.86948512292524,383.446724963073,9.90358375790628,3.45832580783304,"2018","INDONESIA"
